Artist,Song,Genre,Language,Lyrics
gabriel garzon montano,my balloon,R&B,en,"Just a little thin around the ribs
Wondering why did it have to be like this
Tried to have you fall in love with me

Held you up for a while but you proved too tough baby, baby
Let you off with a smile never asked too much baby, baby

I'll get back on my balloon
And meet my baby on the moon
Hanging flowers in her room
And dancing just to keep my cool, to keep my cool

Chased you up to the sky and my wings fell off baby, baby
Held my paws up and cried and you watched me fall baby, baby

I'll get back on my balloon
And meet my baby on the moon
Hanging flowers in her room
And dancing just to keep my cool, to keep my cool

I'll get back on my balloon
And meet my baby on the moon
Hanging flowers in her room
And dancing just to keep my cool, to keep my cool, ooh

I'll get back on my balloon
And meet my baby on the moon
Hanging flowers in her room
And dancing just to keep my cool, to keep my cool

Just a little thin around the ribs
Wondering why did it have to be like this

Just a little thin around the ribs
Wondering why did it have to be like this

I'll get back on it soon
And meet you on the moon baby, baby
Do it right in your room
'Cause your love is so good baby, baby

I'll get back on it soon
And meet you on the moon baby, baby
Do it right in your room"
doc watson,blue railroad train,Folk,en,"Blue railroad train
I'm goin' down the railroad track
It makes me feel so doggone blue
To listen to that old smokestack

Drivers a-rollin' on
Leavin' me here behind
And give me back them good old days
And let me ramble down the line

Blue railroad train
Leavin' me here alone
You're treatin' me good
You're treatin' me bad
And makin' me think of home

I hear that lonesome train
And love to hear the whistle blow
She's takin' the sun
And leavin' the rain
And makin' me wanna go

I've got the blues
Longin' for her company
It's many miles from where I am
To the only one for me

It's so lonesome here
Waitin' for the manifest
I hope that engineer is kind
Enough to let me be his guest

Blue railroad train
A good old pal to me
Take me everywhere I wanna go
Get my transportation free"
blake shelton,anyone else,Country,en,"Anyone else would shake my hand Wish me luck, be proud for a friend But a jealous guy won't share the sun When it feels threatened by every'one Yeah, anyone else would open the door Helping me find what I was looking for When you smile there's always a catch Like I didn't earn everything I have (Hey, hey, hey) why do you always wanna put me down (Hey, hey, hey) when I was cheering for you from the crowd Whatever it is, whatever I've got You want it all for yourself Why can't you be happy for anyone else? 'Cause nobody else would make me feel dumb For being myself or needing someone And I can't tell, are you ever sincere? Did they treat you like this when you showed up here? (Hey, hey, hey) why do you always wanna put me down (Hey, hey, hey) when I was cheering for you from the crowd Whatever it is, whatever I've got You want it all for yourself Why can't you be happy for anyone else?"
kamelot,one of the hunted,Metal,en,"I feel the distant stare
Of a watching eye
Watching eyes of THE woodsman
Quivers of death await me here
I'm blind to their illusion - confusion

Fletching of fowl Slips
Through the wind
Releasing their death with
Their fingers
My fate lies on a tensel line
I must escape but there's
Nowhere to hide

The now exchanging roles
In this theater of ill HUMOR
The understudy steals
The stage with an encore performance

One of the hunted -
The tables have turned
One of the hunted -
There's nowhere to run
One of the hun ted -
The tables have turned
One of the hunted -
There's nowhere to run

In the temples of nature
I hear the laughter
Just another victim on
This lonely trail
They show no emotion for
This loss of life
It reminds me of myself not long ago
And the cries for life that
I'd seem to ignore
The cries for life are now
My very own

One of the hunted
The tables have turned
One of the hunted
There's nowhere to run
One of the hunted
The tables have turned
One of the hunted
There's nowhere to run"
gabe,changed,Electronic,en,"Would you be proud If you could see me right now I know I'm not perfect But all I want is to be the man you always knew I could be They say good things come once in a life I guess I missed my opportunity And if I could bring you back to me once again I'd do anything anything to show you I've Changed I know it took time But now I'm a different man than before in my life I want to show you I've Changed I know it took time But I'm all grown up I want to show you I've Changed I know I was crazy But that happens when you're young and stupid If there was a way to take back what I did Trust me, I'd find a way to do it I know sometimes I'm wrong And sometimes you might be wrong But there's a reason that I'm sitting here alone And I'm tryna drown my sorrows They say good things come once in a life I guess I missed my opportunity And if I could bring you back to me once again I'd do anything anything to show you I've Changed I know it took time But now I'm a different man than before in my life I want to show you I've Changed I know it took time But I'm all grown up I want to show you I've Changed Can you hear me calling Can you hear me calling I know you don't wanna hear me Please find a way I've Changed I know it took time But now I'm a different man than before in my life I want to show you I've Changed I know it took time But I'm all grown up I want to show you I've Changed"
dizzy wright,smoke you out,Hip-Hop,en,"Imma smoke you out today Finna get her right finna get him right Imma smoke you out today Yup, make you feel all good on the inside Imma smoke you out today Naw we ain't gotta match up lets get right Imma smoke you out today Imma smoke you out today Finna get her right finna get him right Imma smoke you out today Yup, make you feel all good on the inside Imma smoke you out today Naw we ain't gotta match up lets get right Imma smoke you out today Everyday I wake up Thank god for my life I ain't had much (Naw I ain't had much) Y'all niggas be complaining too much Being negative bringing bad luck (bad luck bad luck) I ain't even like to think like that If you falling off it ain't on us So I get out of bed Praying for Marcus that lost his leg My nigga keep holding your head Shout out to all of my brodees I know I ain't seen some of yall in a minute (In a minute) I've been handling business And yall been rocking out with me since the very beginning (I feel it) I fell it I know who to stand with Let me, stand up for my frienship As I'm busting out the bando Plotting on who to start a business plan with Yes I'm inspired by who I'm friends with I never steer you niggas in the wrong way (not at all) We secured by jobs smoking J's all day He gon watch us and the homie don't play (don't play) Yea we livin' life that we excited bout' (excite bout') Me and my haters we eye to eye (eye to eye) So when i land in your city just know I'm looking for a ride or die because... Imma smoke you out today Finna get her right finna get him right Imma smoke you out today Yup, make you feel all good on the inside Imma smoke you out today Naw we ain't gotta match up lets get right Imma smoke you out today Imma smoke you out today Finna get her right finna get him right Imma smoke you out today Yup, make you feel all good on the inside Imma smoke you out today Naw we ain't gotta match up lets get right Imma smoke you out today (Yo yo yo yo yo yo yo yo yo Mod Sun) If I got weed my hippie you got weed It been that way since I was just thirteen Now I'm all grown up get this shit for free Five zips to head each week from a dispensary No shit that may get rain on me It's like I got trees on tress (got trees on trees) I'm in love with the THC And everybody know me Mod Sun Imma smoke you out today and tomorrow We got enough that we never have to borrow Jump up in my car We can do a loop around the block Got the windows up we don't even top Hot box, all these backwoods got it look like a forest Imma get you high as fuck before the chorus Me and Dizzy be gettin' busy in every city Never go to court me and Mary Jane never get divorced All I'm sayin is, I got stupid pot Rolling all day like a sushi spot Hit the doob a lot But it's obvious that I do a lot (that's true) One day everybody will support But until then Imma stare right down my course Imma live it no remorse Backwoods got it look like a forest Imma get you high as fuck before the chorus Imma smoke you out today Finna get her right finna get him right Imma smoke you out today Yup, make you feel all good on the inside Imma smoke you out today Naw we ain't gotta match up lets get right Imma smoke you out today Imma smoke you out today Finna get her right finna get him right Imma smoke you out today Yup, make you feel all good on the inside Imma smoke you out today Naw we ain't gotta match up lets get right Imma smoke you out today Yo, 'cause I'm a real little hippie ass stoner (right on) Hit me when you wanna come up (Yamp) Giving motivation only fucking with the motivated smokers (So do not get lazy on me) Fuck with it as long as it's medicated Which city finna get crazy for me I know damn well marijuana should be legal everywhere So today I'm prepared to smoke you out today"
ella fitzgerald,you hit the spot,Jazz,en,"You are my destination
I have to call
'Cause you have so much on the ball
Ah, you hit the spot
Like the first embrace with a modest tide
Well, you hit the spot
Like pipe and slippers by the fireside
Matter-of-factly don't know exactly what it is that you've got
But you hit the spot
You hit the spot
Like a balmy breeze on a night in May
You hit the spot
Like a cool mint julep on a sunny day
You hit the spot
In my estimation"
dolly parton,calm on the water,Country,en,"In a dream I was walking in a beautiful field I was gathering flowers at the foot of a hill When a bright light descended and it spread o'er the land Jesus stood on the mountain and He held out His hand Then He came down from the mountain headed down to the sea And the children strawed flowers at the path at His feet And He was filled with compassion and the beasts from the wild Came as gentle as lambs and they all walked at His side There's a calm on the water a hush in the crowd There's peace in the valley there's a stillness about There's a light in the darkness there's joy in His love Ain't that a wonderful feelin' left us lift him up Then He suddenly vanished from the crowd down below Reappeared on the mountain in a radiant glow He said your questions are many but the answer is love There is life everlasting let us lift him up There's a calm on the water a hush in the crowd There's peace in the valley there's a stillness about There's a light in the darkness there's joy in His love Ain't that a wonderful feelin' left us lift him up He said if I be lifted up, He said if I be lifted up What did He say, He said if I be lifted up, He said if I be lifted up Let's lift him higher and higher and higher and higher each day Let's lift him up He said if I be lifted up of if I be lifted up"
the kooks,seaside,Rock,en,"Do you want to go to the seaside?
I'm not trying to say that everybody wants to go
I fell in love at the seaside
I handled my charm with time and slight of hand
Do you want to go to the seaside?
I'm not trying to say that everybody wants to go
I fell in love at the seaside
She handled her charm with time and slight of hand, and oh
But I'm just trying to love you
In any kind of way
But I find it hard to love you girl
When you're far away
Away
Do you want to go to the seaside?
I'm not trying to say that everybody wants to go
But I fell in love on the seaside
On the seaside
In the seaside"
doc watson,rambling hobo,Folk,en,"Just a mile west of the water tank
On a cold November day
In a cold and lonesome box car
A dyin hobo lay

His pal sat there before him
With a low and drooping head
Listening to the last words
His dying buddy said

Goodbye old pardner hobo
I hate to say goodbye
But I hear my train a comin
& I know shes getting nigh

Gonna tell that old conductor
Just when I'm gonna stop
Where the little stream of water
Comes tumblin down the rock

We rode the rocks together
We rambled all around
In every kind of weather
We slept out on the ground

Oh pardner don't you miss that train
That always makes a stop
Where the little stream of water
Comes tumblin down the rock

Would you tell my girl from Danville
That she need not worry a tall
I'm a goin to that country
Where I won't have to work at all

No I wll not have to work there
Or never change my socks
Where the little stream of water
Comes tumblin down the rocks

I'm a goin to that better place
Where everything is right
Where handouts grow on bushes
And they sleep out every night

I won't have to wash my overhauls
Or never change my socks
Where the little stream of water
Comes tumblin down the rocks"
babyface,when can i see you again,R&B,en,"When can my heart beat again When does the pain ever end When do the tears stop from running over When does ?you'll get over it? begin I hear what you're saying But I swear that it's not making sense So when can I see you When can I see you again When can my heart beat again When can I see you again When can I breathe once again And when can I see you When does my ""someday"" begin When I'll find someone again And what if I still am not truly over What am I supposed to do then, babe... Do you see what I'm saying Even if, if it's not making sense So when can I see you When can I see you again When can my heart beat again When can I see you again And when can I breathe once again And when can I see you... again Yeah, baby Do you see what I'm saying Even if, if it's not making sense, baby So when can I see you again When can I see you again Can my heart beat again, baby When can I see you again And when can I breathe once again And when can I see, babe, again Want to see you again Again..."
be your own pet,ouch,Indie,en,"They haunt the streets with their eyes full of hunger
Spreading disease and death to one another
There's no stopping till it gets too late
Zombie apocalypse will change us all now
They haunt the streets with their eyes full of hunger
Spreading disease and death to one another
There's no stopping till it gets too late
Zombie apocalypse will change us all now

When there's no more room in hell
The dead walk the earth
Feeding up the night when we're together
When they trying hard to get us in the end

They haunt the streets with their eyes full of hunger
To bring disease and death to one another
There's no stopping till it gets too late
Zombie apocalypse will change us all now
They're on the streets with their eyes full of hunger
To bring disease and death to one another
There's no stopping till it gets too late
Zombie apocalypse will change us all now

When there's no more room in hell
The dead walk the earth
Feeding up the night when we're together
When they trying hard to get us in the end

They aren't your mothers
They aren't your brothers
They got no feeling but the pain in their stomachs
Have you seen their faces the way they stare?
We know for sure there can't be anything in there

When there's no more room in hell
The dead walk the earth
Feeding up the night when we're together
When they trying hard to get us in the end"
him,buried alive by love,Indie,en,"Again the burden of losing rests upon my shoulders
And its weight seems unbearable
Your tomb is where your heart is
I should have told her
But within me hid a secret so terrible
To cry is to know that you're alive
But my river of tears has run dry
I never wanted to fool you, no
But a cold heart is a dead heart
And it feels like I've been buried alive by love
If I should die before I wake
Pray no one my soul to take
And if I wake before I die
Rescue me with your smile
If I should die before I wake
Pray no one my soul to take
And if I wake before I die
Rescue me with your smile..
yeah
The kiss of vanity blessed me with a spiritual murder
Fed the gods of war insatiable
Your home is where the dark is
I should have told her
Embrace the fire indestructible
To die is to know that you're alive
And my river of blood won't run dry
I never wanted to lose you, no
But a cold heart is a dead heart
And it feels like I've been buried alive by love
If I should die before I wake
Pray no one my soul to take
And if I wake before I die
Rescue me with your smile
If I should die before I wake
Pray no one my soul to take
And if I wake before I die
Rescue me with your smile
Oh they say
To cry is to know that you're alive
But my river of tears has run dry
I never wanted to fool you, no
But a cold heart is a dead heart
And a deserted soul is gone
A cold heart is a dead heart
And it feels like I've been buried alive by love
If I should die before I wake
Pray no one my soul to take
And if I wake before I die
Rescue me with your smile
If I should die before I wake
Pray no one my soul to take
And if I wake before I die
Rescue me with your smile
I've been buried alive by love
I've been buried alive by love
I've been buried alive by love..
yeah
I've been buried alive by love
I've been buried alive by love
I've been buried alive by love..
yeah"
clinic,harmony,Folk,en,"I believe in harmony 
I believe in Christmas Eve 
Free for all the happiness 
And no ones living on their wits 

One so kind and one so wise 
One so kind throughout your life 
Fill yourself with dreams 
Fill yourself with dreams 
Fill yourself with dreams
 
I believe in destiny 
I believe your trust was free 
Free for all the happiness 
And no ones living with regret 

One so kind and one so wise 
One so kind throughout you life 
Fill yourself with dreams 
Fill yourself with dreams 
Fill yourself with dreams 

Oh and now we know, no one ever told now you can be bold 
I believe in solitude 
I believe in till there was you 

Free for all the happiness 
And no ones living on their wits 
One so kind and one so wise 
One so kind throughout you life 

Fill yourself with dreams 
Fill yourself with dreams 
Fill yourself with dreams 
Harmony and no dilemmas 
Harmony and no dilemmas 
Harmony and no dilemmas 

one so kind throughout your life 

Fill yourself with dreams 
Fill yourself with dreams 
Come fill yourself with dreams 

Oh now you know 
No one ever told 
Now you can be bold 

And I believed in solitude 
I believed too little was few 
Free for all your happiness 
And no ones living on their wits 

One so kind and one so wise 
One so kind throughout your life 

Fill yourself with dreams 
Fill yourself with dreams 
Come fill yourself with dreams"
kid cudi,beez (feat. rza),Pop,en,"Who could take a single buck, an empty cup
A stroke of luck
Fuck around and reconstruct it up to a million bucks
In god we trust, every part of us is marvelous
You krusty krab squad, ya'll will rust
Ya'll ain't hard enough
Demolition expert, I exert through your network
While the tech squirt jerk
There's holes inside your sweatshirt
Through your apparel, through your blood
Through your bone marrow
Precise with this mic device, slice your pie like sbarros
You falling nigga, and you can't get up
You been stalling motherfucker now your ass is stuck
Brooklyn, brownsville, baby stay with the killer hill crazy
Ankle strap above the boot, it conceals my three eighty
Are you running for this money money
Hunting eggs like easter bunny
Geeks trying to beast upon me, freak I will eat a zombie
Calm and double while you jumping through these hurdles
Silly rabbit
The race is always won by the turtle, mental machinery
Purple herbal mixed with that greenery
I don't write songs, grasshopper, I write scenery's
Everything ain't what it seems to be
What it means to you it don't mean to me
Bzz, a sting from the killer bees
In god I trust, now I don't give no fucks
(dropping them them them, motherfucking beez)
Beez on 'em
Stings bitch
Bzz..
bzz
I pass any test of litmus, I workout at 24 fitness
On the weekends, I sip belvedere with that citrus
My dogs is vicious, exotic
Life is good, I live every day like it's christmas
Happy new year, I does what the fuck I wanna do here
I splash that gucci shit from the shirt to the shoewear
Trust the rings out, wife beater tee with the wings out
Long dick stamina, I fuck a bird til she sings out
La la la la, body could convert lady gaga
Back to heterosexual, I'm classy like impala
Plus I'm federal, when it comes to making dollas
Like jigga nigga man, if you hear me then holla
Four rings like the green lantern
You see me in the mean phantom
Pushing over there in ohio, outside of canton
Or maybe in the grotti rugged projects of staten
Tall redbone in my shower, she looking like paula patton
In god I trust, now I don't give no fucks
(dropping them them them, motherfucking beez)
Beez on 'em
Stings bitch
Bzz..
bzz"
ernest tubb,goodnight irene,Country,en,"Irene, goodnight, Irene, goodnight, Goodnight, Irene, Goodnight, Irene, I'll see you in my dreams Last Saturday night I got married, Me and my wife settle down,, Now me and my wife are parted, I'm gonna take another stroll in town Irene, goodnight, Irene, goodnight, Goodnight, Irene, Goodnight, Irene, I'll see you in my dreams Sometimes I live in the country, Sometimes I live in town, Sometimes I have a great notion, To jump in the river and drown"
amelia curran,tiny glass houses,Folk,en,"There's a crack in my memory, As if something has gone And split the foundation Of shadow, of song And raddled the windows, And the tiny regrets And the tiny glasses houses That I tried to forget Drink til your sleeping, I love you that way Like we are all babies; All our beds are unmade No memory has molded Enough to forget And our tiny glass houses Are not built for us yet Takes all of the courage, And none of the pride, To stand in the threshold- To sit down inside Where we are not babies; No we are not new And our tiny glass houses With the beautiful view There's a crack in my memory Where a funeral parade, Rolls through the doorway That my memory made And funeral marches To its funeral sounds And the tiny glass houses Are all tumbling down And tiny glass houses, Are all tumbling down And tiny glass houses, Are all tumbling down"
u2,touch,Rock,en,"Thank you
Don't mention it
I'm pleased to meet you
Don't think I'm very good at this
Let me show

I don't wanna know
I just wanna go (down)

F-f-falling the world is by your side
Falling did you find a place to hide

I just wanna know
I just wanna go

T-t-touching you
T-t-touching you
T-t-touching you

She said, the twenty second floor
But I said, I can't think what it's for

I just wanna know
I don't wanna go

T-t-touching you
T-t-touching you
T-t-touching you

I'm t-t-touching you
T-t-touching you
T-t-touching you

T-t-touching you"
leonard cohen,field commander cohen,Folk,en,"Field Commander Cohen, he was our most important spy. 
Wounded in the line of duty, 
Parachuting acid into diplomatic cocktail parties, 
Urging Fidel Castro to abandon fields and castles. 
Leave it all and like a man, 
Come back to nothing special, 
Such as waiting rooms and ticket lines, 
Silver bullet suicides, 
And messianic ocean tides, 
And racial roller-coaster rides 
And other forms of boredom advertised as poetry. 
I know you need your sleep now, 
I know your life's been hard. 
But many men are falling, 
Where you promised to stand guard. 

I never asked but I heard you cast your lot along with the poor. 
But then I overheard your prayer, 
That you be this and nothing more 
Than just some grateful faithful woman's favorite singing millionaire, 
The patron Saint of envy and the grocer of despair, 
Working for the Yankee Dollar. 

I know you need your sleep now

Ah, lover come and lie with me, if my lover is who you are, 
And be your sweetest self awhile until I ask for more, my child. 
Then let the other selves be wrong, yeah, let them manifest and come 
Till every taste is on the tongue, 
Till love is pierced and love is hung, 
And every kind of freedom done, then oh, 
Oh my love, oh my love, oh my love, 
Oh my love, oh my love, oh my love."
clawfinger,recipe for hate,Metal,en,"First of all I make sure I've got the right ingredients
Before I heat up the pan
I take a little bit of bitterness to grease it up
And keep everything close at hand
Then I add a few ounces of fresh frustration and half a cup of attitude
A rush of adrenaline to spice things up
And then half a spoon of bad mood
One bottle of my sweat one bottle of tears,
A few drops of my own blood
It all blends together like a cat and dog
And the result is as clear as mud
I pick the worst situation out of the bunch
And throw it right into the mix
And last but not least I add a little bit of spit,
Just a few little nasty cliques

That's my recipe for hate

I turn up the heat to 400 degrees and go to work on the attitude
I shake it all up in a provocative way to make sure it comes out rude
Then I grind down the frustration hard so that all of the scents can blend
I pour the sweat on top and then the tears
To make sure that I don't make friends
When the mood is wrong, everything is right, I can add the adrenaline
But I've got to be careful with the dose I use,
The effect shouldn't wear to thin
The blood comes last 'cause' it always has a tendency to cool and coagulate
So I calculate and make no mistakes,
It's so fresh that it still pulsates

That's my recipe for hate......

When the meal is done you get a spoiled appetite
And a dish full of disagree some ignorance on the side,
A plate full of hate, served with a fistful of me



"
nick cave the bad seeds,tupelo,Rock,en,"Looka yonder! Looka yonder!
Looka yonder! A big black cloud come!
A big black cloud come!
O comes to Tupelo
Comes to Tupelo

Yonder on the horizon
Yonder on the horizon
Stopped at the mighty river
Stopped at the mighty river and
Sucked the damn thing dry
Tupelo-o-o, O Tupelo
In a valley hides a town called Tupelo

Distant thunder rumble
Distant thunder rumble
Rumble hungry like the Beast
The Beast it cometh, cometh down
The Beast it cometh, cometh down
Wo wo wo-o-o
Tupelo bound
Tupelo-o-o
Yeah Tupelo
The Beast it cometh, Tupelo bound

Why the hen won't lay no egg
Can't get that cock to crow
The nag is spooked and crazy
O God help Tupelo! O God help Tupelo!
O God help Tupelo! O God help Tupelo!

Ya can say these streets are rivers
Ya can call these rivers streets
Ya can tell ya self ya dreaming buddy
But no sleep runs this deep
No! No sleep runs this deep
No sleep runs this deep
Women at their windows
Rain crashing on the pane
Writing in the frost
Tupelos' shame
Tupelo's shame
O God help Tupelo! O God help Tupelo!

O go to sleep lil children
The sandmans on his way
O go to sleep lil children
The sandmans in his way
But the lil children know
They listen to the beating of their blood
listen to the beating of their blood
listen to the beating of their blood
listen to the beating of their blood
They listen to the beating of their blood
The sandman's mud!
The sandman's mud!
And the black rain come down
the black rain come down
the black rain come down
Water water everywhere
Where no bird can fly no fish can swim
Where no bird can fly no fish can swim
No fish can swim
Until The King is born!
Until The King is born!
In Tupelo! Tupelo-o-o!
Til The King is born in Tupelo!

In a clap-board shack with a roof of tin
Where the rain came down and leaked within
A young mother frozen on a concrete floor
With a bottle and a box and a cradle of straw
Tupelo-o-o! O Tupelo!
With a bottle and a box and a cradle of straw

Well Saturday gives what Sunday steals
And a child is born on his brothers heels
Come Sunday morn the first-born dead
In a shoebox tied with a ribbon of red
Tupelo-o-o! Hey Tupelo!
In a shoebox buried with a ribbon of red

O ma-ma rock you lil' one slow
O ma-ma rock your baby
O ma-ma rock your lil' one slow
O God help Tupelo! O God help Tupelo!
Mama rock your lil' one slow
The lil one will walk on Tupelo
The lil one will walk on Tupelo
Black rain come down, Black rain come down
Tupelo-o-o! Yeah Tupelo!
And carry the burden of Tupelo
Tupelo-o-o! O Tupelo! Yeah!
The King will walk on Tupelo!
Tupelo-o-o! O Tupelo!
He carried the burden outa Tupelo!
Tupelo-o-o! Hey Tupelo! [Repeat]
You will reap just what you sow."
front 242,work 01,Electronic,en,"Is this the kind of work you'd like to do? Tonight I meet my friends Together we celebrate The body mutilated Another mutilated body We have agreed to try hypnosis Have you gone completely mad? I wake up freezing bleeding in the basement Oh my head, I don't remember anything I guess the night was exciting Listen carefully! When I'm clear I happen to regret All the losses I will never retrieve Hey you, hey me, carcass in the mirror As hard as a rock and selfish to the core Water, water everywhere I've been waiting for the good times"
angel olsen,unfucktheworld,Indie,en,"I quit my dreaming the moment that I found you
I started dancing just to be around you
Here's to thinking that it all meant so much more
I kept my mouth shut and opened up the door

I wanted nothing but for this to be the end
For this to never be a tied and empty hand
If all the trouble in my heart would only mend
I lost my dream I lost my reason all again

It's not just me for you, I have to look out too
I have to save my life
I need some peace of mind
I am the only one now
I am the only one now
I am the only one now

You may not be around
You may not be around
You may not be around

I am the only one now
I am the only one now
I am the only one now
I am the only one now"
attack! attack!,my shoes,Electronic,en,"Trapped in a dream
Nothing it seems is ever going to wake me
Sleep in for days, lost in a maze
With paranoia beside me
You can never get out you can never be free
Blame everyone that you've met
And ever tried to deceive
Trapped in a dream
Nothing it seems is ever going to wake me

Spend a night in my shoes
And tell me how to stop this happening
Spend a night in my shoes
And tell me how to seek revenge

Wake up it's time to take over
This place is going to be the death of us
Can't live our lives in the shadows
Of those who try to take the best from us

Taken the pill, live for the thrill
But now my body is breaking
Rotted inside, swallowed my pride
It was mine for the taking
You can never get out you can never be free
Step away from the ones
You thought that you could believe
Taken the pill, lived for the thrill
But now my body is breaking

Spend a night in my shoes
And tell me how to stop this happening
Spend a night in my shoes
And tell me how to seek revenge

Wake up it's time to take over
This place is going to be the death of us
Can't live our lives in the shadows
Of those who try to take the best from us

Wake up it's time to take over
This place is going to be the death of us
Can't live our lives in the shadows
Of those who try to take the best from us

[Repeat: x8]
Woah-oah

Wake up it's time to take over
This place is going to be the death of us
Can't live our lives in the shadows
Of those who try to take the best from us

Wake up it's time to take over
This place is going to be the death of us
Can't live our lives in the shadows
Of those who try to take the best from us

[Repeat: x2]
Yeah, yeah, woah-oh"
shirley bassey,with these hands,Jazz,en,"With these hands, I will cling to you
I'm yours forever and a day
With these hands, I will bring to you
A tender love as warm as May

With this heart, I will sing to you
Long after stars have lost their glow
And with these hands, I'll provide for you
Should there be a stormy sea
I'll turn the tide for you, and I'll never
No, I'll never let you go

"
august alsina,make it home,R&B,en,"I don't always do what I should But I do what I gotta do You've been at the bottom, you see the hunger inside of you Don't say what you won't do 'Cause it can all change When the going gets tough it'll drive you insane See I done dodged a couple shots Served a couple blocks Hit a couple corners tryna shake a couple cops A broke a couple rules Didn't graduate from school 'Cause I was busy hustling, man, I thought that shit was cool See I gotta keep it real with you baby 'Cause the shit I used to do is what made me And I'm hopin I ain't gotta go back to the trap 'Cause we really know that we don't want that But if I don't make it home tonight Tell my mama that I love her Leave some flowers for my brother Girl I love ya But if I don't make it home tonight Take some money to my sister I don't ever want her chasin' after niggas 'Cause where I'm from Niggas outchea dyin every day And they ain't all bad, they just tryna make a way And I ain't no different So if I get missin' These are my last wishes I hope you get them right Girl if I don't make it home tonight I know it's harsh But this is how I feel, girl it's comin' from the heart I hope it doesn't end the way it had to start 'Cause it started out bad but I made it this far But everyone here ain't trynna see me make it Or they only wanna see me win so they can take it 'Cause I know it's hard to find a job So niggas kill and rob There's a chance that I won't make it here tomorrow Being honest 'Cause I gotta keep it real with you baby 'Cause the shit I used to do is what made me And I'm hopin' I ain't gotta go back to the trap 'Cause we really know that we don't want that But if I don't make it home tonight Tell my mama that I love her Leave some flowers for my brother Girl I love ya But if I don't make it home tonight Take some money to my sister I don't ever want her chasin' after niggas 'Cause where I'm from Niggas outchea dyin' every day And they ain't all bad, they just tryna make a way And I ain't no different So if I get missin' These are my last wishes I hope you get them right Girl if I don't make it home tonight Would you miss me? Would you miss me? Would you walk up to my casket? Would you kiss me? My life is schizophrenic, I'm just tryna stay sane Pour a cup full, hope it take away the pain I said you know I I I I Came from the projects, nigga Don't care if it kill me, I die, we'll stay in the projects You know I'm fresh as a motherfucker, in case that I die tonight Got a lot on my mind, you know that I'm high tonight I left that black Hublot at home So really I don't got the time My nigga got by a quarter, heard that he dropped the dime Failure's no option nigga, you out of yo fuckin' mind Mixin' my life and my freedom fool So ain't none of you stopping my But if I don't make it home tonight Tell my mama that I love her Leave some flowers for my brother Girl I love ya But if I don't make it home tonight Take some money to my sister I don't ever want her chasin' after niggas 'Cause where I'm from Niggas outchea dyin' every day And they ain't all bad, they just tryna make a way And I ain't no different So if I get missin' These are my last wishes I hope you get them right But if I don't make it home tonight Tell my mama that I love her Leave some flowers for my brother Girl I love ya But if I don't make it home tonight Take some money to my sister I don't ever want her chasin' after niggas 'Cause where I'm from Niggas outchea dyin' every day And they ain't all bad, they just tryna make a way And I ain't no different So if I get missin' These are my last wishes I hope you get them right Girl if I don't make it home tonight"
the electric soft parade,something's got to give,Indie,en,"I plan to do it everyday, but I couldn't care
It's not as if I worry I'm never there
And what do you want in this, oh
Something's got to give
The lines are there
It's all for you take, you give

Sometimes you put your back up
'Cause it's the only way to see
That you're going nowhere today

I plan to do it everyday, but I couldn't care
It's not as if I worry I'm never there
You know just as well as I, I am going down 
Wednesday is far to early

Sometimes you put your back up
'Cause it's the only way to see
That you're going nowhere today

'Cause, sometimes you put your back up
'Cause it's the only way to see
That you're going nowhere today

Wednesday is far to early
"
billie the vision and the dancers,my love,Indie,en,"You found the drag queen
There’s a finder's fee for you
You figured out where she is now and what she's been through
What she looks like and what's turning her on
You were devastated all the time she was gone
I’m gonna concentrate on you my love
She’s not my lover but she occupies a part of my heart
I’ve never been in love with her but I love her art and she sure would understand if it's time to depart
I’m gonna concentrate on you my love
My love, my love
All the lonely men she kissed, all the comfort she supplied
All the money that she made and the positions she tried
She want a closure, she want a ""case is dismissed""
She missed the way you kissed her and she missed the bliss
I’m gonna concentrate…
She could tell you about her escapades and fall, but she’d rather not ‘coz she wanna forget about it all
She said ""calleth you, raiseth I""
She lost what she got
She stood up and walked away, disappeared from the spot
I’m gonna concentrate on you my love…"
xtc,blue overall [*],Rock,en,"Blue overall 
Overall the rooftops blue birds fly apart 
Blue overall 
Overall the bones that cage this stupid heart 
Got blues drawing crosses on my front door 
Blues a'bringing buckets 'round the back 
Blues trying to push me from me white fence 
And tar me a darker bluey black 
For all this time 
I really thought you loved me 
For all this time 
You only rubber gloved me 
Blue overall 
Overall my anvil gives no further sparks 
Blue overall 
Overall my fears swim hammer headed sharks 
Got blues drinking beer out in the kitchen 
Blue dog is barking to be fed 
Got blues spilling wine upon me heartrug 
They're holding a party in my head 
For all this time 
I really thought you loved me 
For all this time 
You merely went and shoved me 
I tried to lose myself in labour 
The more I push the mirth 
I'm giving birth to a baby's turning 
Blue overall 
Feeling blue overall 
All over I'm turning blue"
